,REF_NO,children,age_band,status,occupation,home_status,family_income,TVarea,Average.Credit.Card.Transaction,Balance.Transfer,Term.Deposit,Life.Insurance,Medical.Insurance,Average.A.C.Balance,Personal.Loan,Home.Loan,Online.Purchase.Amount,gender,region,Portfolio.Balance
0,2148,1,45-50,Partner,Professional,Rent Privately,">=35,000",HTV,0.0,0.0,196.95,132.42,0.0,0.0,21.47,2.48,0.0,Female,South West,87.48
1,8099,1,61-65,Partner,Retired,Own Home,"<12,500, >=10,000",Central,0.0,77.89,0.0,134.39,0.0,7.99,14.98,3.99,0.0,Female,South East,110.73
2,6611,3,31-35,Partner,Professional,Own Home,">=35,000",Anglia,119.98,0.0,96.94,0.0,159.97,0.0,0.0,0.0,0.0,Male,East Anglia,127.57
3,1950,0,55-60,Partner,Professional,Own Home,">=35,000",Granada,0.0,39.99,0.0,133.93,0.0,39.48,0.0,0.0,0.0,Female,North West,33.79
4,10857,2,51-55,Partner,Manual Worker,Own Home,"<27,500, >=25,000",TV South West,0.0,161.47,14.99,58.97,7.49,57.46,0.0,0.0,0.0,Female,South West,56.17
5,10853,2,31-35,Partner,Professional,Own Home,"<25,000, >=22,500",Tyne Tees,0.0,89.98,0.0,292.36,4.99,81.9,30.48,7.46,7.98,Male,North,200.23
6,1495,3,36-40,Partner,Secretarial/Admin,Own Home,"<25,000, >=22,500",Grampian,0.0,0.0,0.0,57.98,14.49,165.87,0.0,37.44,31.97,Female,Scotland,177.31
7,9602,1,41-45,Partner,Other,Own Home,"<15,000, >=12,500",Yorkshire,200.44,231.42,110.93,222.91,42.76,24.97,213.29,2.99,0.0,Female,South East,306.17
8,5402,2,26-30,Partner,Secretarial/Admin,Own Home,"<17,500, >=15,000",Central,9.99,0.0,0.0,0.0,0.0,0.0,0.0,7.48,0.0,Female,West Midlands,46.31
9,6343,3,31-35,Partner,Business Manager,Own Home,"<27,500, >=25,000",Meridian,0.0,190.97,0.0,20.51,64.48,11.99,0.0,0.0,0.0,Female,South West,53.09
10,6370,3,26-30,Partner,Housewife,Own Home,"<27,500, >=25,000",Central,0.0,0.0,19.99,21.99,0.0,0.0,0.0,22.88,0.0,Female,East Midlands,22.5
11,2768,2,41-45,Partner,Secretarial/Admin,Own Home,"<27,500, >=25,000",Meridian,0.0,32.18,9.44,126.77,18.47,80.29,162.18,16.47,378.22,Female,North West,193.85
12,8769,1,45-50,Partner,Manual Worker,Own Home,"<15,000, >=12,500",Carlton,19.99,37.99,0.0,0.0,0.0,0.0,42.96,0.0,31.99,Male,South East,61.26
13,2097,1,26-30,Single/Never Married,Professional,Own Home,">=35,000",Yorkshire,0.0,145.44,59.47,97.45,0.0,19.98,12.99,0.0,0.8,Female,South East,93.72
14,4672,1,45-50,Partner,Housewife,Own Home,">=35,000",Meridian,0.0,193.43,19.49,186.4,10.48,48.43,0.0,0.0,18.45,Female,South East,190.06
15,9816,0,51-55,Partner,Housewife,Own Home,"<27,500, >=25,000",Anglia,15.99,44.47,5.03,24.47,11.47,76.43,117.89,0.0,0.0,Female,East Anglia,121.42
16,11226,0,65-70,Partner,Retired,Own Home,"<22,500, >=20,000",Anglia,0.0,0.0,0.0,33.48,0.0,50.96,0.0,1.99,0.0,Male,South East,12.45
17,2614,0,61-65,Partner,Retired,Own Home,"<22,500, >=20,000",Meridian,50.48,119.46,0.0,50.98,0.0,5.99,0.0,0.0,0.0,Female,South East,86.69
